,QualityMeasure1,QualityMeasure10,QualityMeasure11,QualityMeasure12,QualityMeasure13,QualityMeasure14,QualityMeasure15,QualityMeasure15Chemo,QualityMeasure15RT,QualityMeasure15Surgery,QualityMeasure16,QualityMeasure17,QualityMeasure18,QualityMeasure19,QualityMeasure19_color,QualityMeasure2,QualityMeasure20,QualityMeasure21A,QualityMeasure21B,QualityMeasure22,QualityMeasure23,QualityMeasure24,QualityMeasure27,QualityMeasure3,QualityMeasure4,QualityMeasure5,QualityMeasure6,QualityMeasure7,QualityMeasure8A,QualityMeasure8B,QualityMeasure9,,,,
Fail,24.5810055865922,41.340782122905,0.558659217877095,5.58659217877095,,50.2793296089386,60.3351955307263,57.5418994413408,75.4189944134078,6.14525139664804,32.4022346368715,36.3128491620112,10.0558659217877,3.91061452513966,,1.11731843575419,1.67597765363129,7.82122905027933,,100,91.0614525139665,72.0670391061452,,3.91061452513966,73.7430167597765,3.91061452513966,1.67597765363129,14.5251396648045,3.91061452513966,28.4916201117318,96.0893854748603,,,,
Pass,75.4189944134078,58.659217877095,99.4413407821229,94.413407821229,100,49.7206703910615,39.1061452513966,15.0837988826816,24.0223463687151,,67.5977653631285,63.6871508379888,74.8603351955307,65.3631284916201,,98.8826815642458,11.1731843575419,6.14525139664804,7.82122905027933,,1.67597765363129,24.0223463687151,,74.8603351955307,11.731843575419,96.0893854748603,98.3240223463687,85.4748603351955,96.0893854748603,9.49720670391061,3.91061452513966,,,,
Excluded,,,,,,,0.558659217877095,,,,,,15.0837988826816,9.49720670391061,,,1.67597765363129,0.558659217877095,6.70391061452514,,7.26256983240224,3.91061452513966,100,,,,,,,62.0111731843575,,,,,
Green,,,,,,,,,,,,,,,7.26256983240224,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,189.519553072626,318.737430167598,4.3072625698324,43.072625698324,0,387.653631284916,465.184357541899,443.648044692737,581.480446927374,47.3798882681564,249.821229050279,279.972067039106,77.5307262569833,30.1508379888268,0,8.6145251396648,12.9217877094972,60.3016759776536,0,771,702.083798882681,555.63687150838,0,30.1508379888268,568.558659217877,30.1508379888268,12.9217877094972,111.988826815642,30.1508379888268,219.670391061452,740.849162011173,,6973.45810055866,,0.351650738488271
Pass,581.480446927374,452.262569832402,766.692737430167,727.927374301676,771,383.346368715084,301.508379888268,116.296089385475,185.212290502793,0,521.178770949721,491.027932960894,577.173184357542,503.949720670391,0,762.385474860335,86.145251396648,47.3798882681564,60.3016759776536,0,12.9217877094972,185.212290502793,0,577.173184357542,90.4525139664804,740.849162011173,758.078212290503,659.011173184358,740.849162011173,73.2234636871508,30.1508379888268,,11203.1899441341,,0.564943527367507
Excluded,0,0,0,0,0,0,4.3072625698324,0,0,0,0,0,116.296089385475,73.2234636871508,0,0,12.9217877094972,4.3072625698324,51.6871508379888,0,55.9944134078212,30.1508379888268,771,0,0,0,0,0,0,478.106145251397,0,,1597.99441340782,,0.0805821025195482
Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9944134078212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,55.9944134078212,,0.0028236316246742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19830.6368715084,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,
