,QualityMeasure1,QualityMeasure10,QualityMeasure11,QualityMeasure12,QualityMeasure13,QualityMeasure14,QualityMeasure15,QualityMeasure15_color,QualityMeasure16,QualityMeasure17A,QualityMeasure17B,QualityMeasure18,QualityMeasure19,QualityMeasure2,QualityMeasure24,QualityMeasure3,QualityMeasure4,QualityMeasure5,QualityMeasure6,QualityMeasure7,QualityMeasure8,QualityMeasure9,,,,,,,,,,,,,
Fail,7.13178294573643,22.3255813953488,3.72093023255814,21.2403100775194,1.55038759689923,0.775193798449612,0.310077519379845,,98.9147286821705,,,65.1162790697674,50.077519379845,11.7829457364341,29.7674418604651,1.70542635658915,19.8449612403101,33.3333333333333,94.4186046511628,0.62015503875969,1.3953488372093,3.72093023255814,,,,,,,,,,,,,
Pass,92.8682170542636,31.7829457364341,93.0232558139535,23.4108527131783,96.8992248062015,76.5891472868217,0.930232558139535,,1.08527131782946,2.01550387596899,2.01550387596899,34.5736434108527,48.3720930232558,86.9767441860465,8.37209302325581,42.9457364341085,34.2635658914729,66.6666666666667,5.58139534883721,99.3798449612403,98.6046511627907,40.9302325581395,,,,,,,,,,,,,
Excluded,,45.8914728682171,3.25581395348837,55.3488372093023,1.55038759689923,22.6356589147287,98.7596899224806,98.7596899224806,,97.984496124031,97.984496124031,0.310077519379845,,1.24031007751938,61.8604651162791,55.3488372093023,45.8914728682171,,,,,55.3488372093023,,,,,,,,,,,,,
Green,,,,,,,,0.930232558139535,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,,,,,,,,0.310077519379845,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,54.9860465116279,172.13023255814,28.6883720930233,163.762790697674,11.953488372093,5.97674418604651,2.3906976744186,0,762.632558139535,0,0,502.046511627907,386.097674418605,90.846511627907,229.506976744186,13.1488372093023,153.004651162791,257,727.967441860465,4.78139534883721,10.7581395348837,28.6883720930233,0,0,0,0,0,0,0,0,0,,3606.36744186047,,0.212794470306108
Pass,716.013953488372,245.046511627907,717.209302325581,180.497674418605,747.093023255814,590.502325581395,7.17209302325581,0,8.36744186046512,15.5395348837209,15.5395348837209,266.562790697674,372.948837209302,670.590697674419,64.5488372093023,331.111627906977,264.172093023256,514,43.0325581395349,766.218604651163,760.241860465116,315.572093023256,0,0,0,0,0,0,0,0,0,,7611.98139534884,,0.449146565100861
Excluded,0,353.823255813953,25.1023255813953,426.739534883721,11.953488372093,174.520930232558,761.437209302326,761.437209302326,0,755.460465116279,755.460465116279,2.3906976744186,0,9.56279069767442,476.944186046512,426.739534883721,353.823255813953,0,0,0,0,426.739534883721,0,0,0,0,0,0,0,0,0,,5722.13488372093,,0.337635773733954
Green,0,0,0,0,0,0,0,7.17209302325581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.17209302325581,,0.000423190859077444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16947.6558139535,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
